candidate_id,rank,score,reasoning
CAND_0061339,22,0.9257,Search Engineer with 4.2 YOE. Matched 6 critical retrieval/ranking and 3 secondary ML skills. Highly active GitHub profile (score 85.7). Recruiter response rate is 90%.
CAND_0041669,23,0.9249,Recommendation Systems Engineer with 8.0 YOE. Matched 9 critical retrieval/ranking and 4 secondary ML skills. Highly active GitHub profile (score 70.9). Recruiter response rate is 77%.
CAND_0001056,24,0.9245,Computer Vision Engineer with 5.1 YOE. Matched 5 critical retrieval/ranking and 5 secondary ML skills. Highly active GitHub profile (score 56.5). Recruiter response rate is 84%.
CAND_0046064,25,0.9233,Senior NLP Engineer with 8.9 YOE. Matched 11 critical retrieval/ranking and 8 secondary ML skills. Highly active GitHub profile (score 67.3). Recruiter response rate is 78%.
CAND_0036184,26,0.9232,Recommendation Systems Engineer with 6.0 YOE. Matched 8 critical retrieval/ranking and 3 secondary ML skills. Recruiter response rate is 90%.
CAND_0078002,27,0.9226,Machine Learning Engineer with 6.3 YOE. Matched 5 critical retrieval/ranking and 5 secondary ML skills. Highly active GitHub profile (score 50.6). Recruiter response rate is 86%.
CAND_0030031,28,0.9204,AI Engineer with 5.7 YOE. Matched 5 critical retrieval/ranking and 6 secondary ML skills. Recruiter response rate is 94%.
CAND_0066999,29,0.9204,Recommendation Systems Engineer with 5.9 YOE. Matched 7 critical retrieval/ranking and 2 secondary ML skills. Highly active GitHub profile (score 94.4). Recruiter response rate is 63%.
CAND_0050876,30,0.9201,Applied ML Engineer with 6.0 YOE. Matched 6 critical retrieval/ranking and 4 secondary ML skills. Highly active GitHub profile (score 86.1). Recruiter response rate is 67%.
CAND_0014440,31,0.9175,Recommendation Systems Engineer with 6.4 YOE. Matched 7 critical retrieval/ranking and 2 secondary ML skills. Highly active GitHub profile (score 89.5). Recruiter response rate is 64%.
CAND_0018499,32,0.9168,Senior Machine Learning Engineer with 7.2 YOE. Matched 11 critical retrieval/ranking and 5 secondary ML skills. Highly active GitHub profile (score 94.8). Recruiter response rate is 61%.
CAND_0000031,33,0.9146,Recommendation Systems Engineer with 6.0 YOE. Matched 6 critical retrieval/ranking and 3 secondary ML skills. Recruiter response rate is 91%.
CAND_0093912,34,0.9135,Senior Data Scientist with 5.3 YOE. Matched 10 critical retrieval/ranking and 2 secondary ML skills. Highly active GitHub profile (score 81.5). Recruiter response rate is 66%.
CAND_0042359,35,0.9129,Data Scientist with 6.9 YOE. Matched 5 critical retrieval/ranking and 7 secondary ML skills. Highly active GitHub profile (score 60.9). Recruiter response rate is 76%.
CAND_0042029,36,0.9127,Senior Data Scientist with 6.5 YOE. Matched 10 critical retrieval/ranking and 4 secondary ML skills. Highly active GitHub profile (score 78.7). Recruiter response rate is 67%.
CAND_0046525,37,0.9127,Senior Machine Learning Engineer with 6.1 YOE. Matched 10 critical retrieval/ranking and 4 secondary ML skills. Recruiter response rate is 88%.
CAND_0020708,38,0.9123,Search Engineer with 4.2 YOE. Matched 8 critical retrieval/ranking and 3 secondary ML skills. Highly active GitHub profile (score 84.3). Recruiter response rate is 84%.
CAND_0090584,39,0.9108,ML Engineer with 5.1 YOE. Matched 5 critical retrieval/ranking and 5 secondary ML skills. Highly active GitHub profile (score 82.8). Recruiter response rate is 64%.
CAND_0098846,40,0.9102,AI Engineer with 7.6 YOE. Matched 6 critical retrieval/ranking and 4 secondary ML skills. Highly active GitHub profile (score 86.2). Recruiter response rate is 62%.
CAND_0068932,41,0.9095,ML Engineer with 5.2 YOE. Matched 5 critical retrieval/ranking and 4 secondary ML skills. Highly active GitHub profile (score 70.5). Recruiter response rate is 82%.
CAND_0083307,42,0.9092,Search Engineer with 7.8 YOE. Matched 11 critical retrieval/ranking and 6 secondary ML skills. Highly active GitHub profile (score 69.2). Recruiter response rate is 70%.
CAND_0079064,43,0.9088,Senior Data Scientist with 5.2 YOE. Matched 11 critical retrieval/ranking and 3 secondary ML skills. Recruiter response rate is 91%.
CAND_0062247,44,0.9087,AI Engineer with 7.3 YOE. Matched 10 critical retrieval/ranking and 4 secondary ML skills. Highly active GitHub profile (score 52.7). Recruiter response rate is 78%.
CAND_0039383,45,0.9084,Applied ML Engineer with 7.1 YOE. Matched 7 critical retrieval/ranking and 5 secondary ML skills. Highly active GitHub profile (score 86.4). Recruiter response rate is 61%.
CAND_0073007,46,0.9075,AI Specialist with 5.8 YOE. Matched 5 critical retrieval/ranking and 4 secondary ML skills. Highly active GitHub profile (score 66.5). Recruiter response rate is 83%.
CAND_0020877,47,0.9064,Applied ML Engineer with 5.1 YOE. Matched 13 critical retrieval/ranking and 5 secondary ML skills. Highly active GitHub profile (score 74.4). Recruiter response rate is 66%.
CAND_0054100,48,0.9062,Junior ML Engineer with 6.0 YOE. Matched 4 critical retrieval/ranking and 7 secondary ML skills. Highly active GitHub profile (score 73.2). Recruiter response rate is 79%.
CAND_0054123,49,0.9055,Applied ML Engineer with 4.7 YOE. Matched 10 critical retrieval/ranking and 3 secondary ML skills. Highly active GitHub profile (score 71.5). Recruiter response rate is 87%.
CAND_0090155,50,0.9039,ML Engineer with 5.8 YOE. Matched 5 critical retrieval/ranking and 8 secondary ML skills. Highly active GitHub profile (score 75.9). Recruiter response rate is 64%.
CAND_0098454,51,0.9027,AI Specialist with 6.6 YOE. Matched 6 critical retrieval/ranking and 5 secondary ML skills. Recruiter response rate is 87%.
CAND_0082086,52,0.9026,Senior Software Engineer (ML) with 6.0 YOE. Matched 4 critical retrieval/ranking and 6 secondary ML skills. Highly active GitHub profile (score 82.6). Recruiter response rate is 85%.
CAND_0018549,53,0.9023,Recommendation Systems Engineer with 6.8 YOE. Matched 9 critical retrieval/ranking and 2 secondary ML skills. Highly active GitHub profile (score 56.3). Recruiter response rate is 73%.
CAND_0069905,54,0.9008,Applied ML Engineer with 6.6 YOE. Matched 10 critical retrieval/ranking and 4 secondary ML skills. Recruiter response rate is 78%.
CAND_0075249,55,0.9008,Applied ML Engineer with 6.2 YOE. Matched 10 critical retrieval/ranking and 2 secondary ML skills. Recruiter response rate is 82%.
CAND_0011125,56,0.8996,Junior ML Engineer with 6.6 YOE. Matched 5 critical retrieval/ranking and 6 secondary ML skills. Highly active GitHub profile (score 83.6). Recruiter response rate is 57%.
CAND_0073883,57,0.8996,AI Specialist with 5.3 YOE. Matched 4 critical retrieval/ranking and 6 secondary ML skills. Highly active GitHub profile (score 65.6). Recruiter response rate is 92%.
CAND_0099806,58,0.8989,AI Engineer with 4.6 YOE. Matched 9 critical retrieval/ranking and 4 secondary ML skills. Highly active GitHub profile (score 86.9). Recruiter response rate is 76%.
CAND_0028793,59,0.8971,Search Engineer with 7.2 YOE. Matched 10 critical retrieval/ranking and 6 secondary ML skills. Highly active GitHub profile (score 83.1). Recruiter response rate is 56%.
CAND_0074225,60,0.8963,Machine Learning Engineer with 4.3 YOE. Matched 9 critical retrieval/ranking and 5 secondary ML skills. Highly active GitHub profile (score 54.3). Recruiter response rate is 91%.
CAND_0009691,61,0.8958,Applied ML Engineer with 6.2 YOE. Matched 7 critical retrieval/ranking and 4 secondary ML skills. Highly active GitHub profile (score 67.8). Recruiter response rate is 64%.
CAND_0005649,62,0.8947,Senior Data Scientist with 7.4 YOE. Matched 11 critical retrieval/ranking and 5 secondary ML skills. Highly active GitHub profile (score 80.7). Recruiter response rate is 56%.
CAND_0027691,63,0.8945,NLP Engineer with 6.5 YOE. Matched 9 critical retrieval/ranking and 6 secondary ML skills. Highly active GitHub profile (score 58.5). Recruiter response rate is 68%.
CAND_0029367,64,0.8938,Senior Data Scientist with 5.7 YOE. Matched 10 critical retrieval/ranking and 3 secondary ML skills. Recruiter response rate is 77%.
CAND_0027801,65,0.8933,NLP Engineer with 7.4 YOE. Matched 9 critical retrieval/ranking and 3 secondary ML skills. Highly active GitHub profile (score 63.3). Recruiter response rate is 65%.
CAND_0007009,66,0.8932,Recommendation Systems Engineer with 7.9 YOE. Matched 11 critical retrieval/ranking and 6 secondary ML skills. Highly active GitHub profile (score 69.2). Recruiter response rate is 62%.
CAND_0061655,67,0.8925,Machine Learning Engineer with 4.6 YOE. Matched 7 critical retrieval/ranking and 4 secondary ML skills. Highly active GitHub profile (score 56.5). Recruiter response rate is 88%.
CAND_0047521,68,0.8923,Junior ML Engineer with 4.4 YOE. Matched 6 critical retrieval/ranking and 5 secondary ML skills. Highly active GitHub profile (score 66.3). Recruiter response rate is 83%.
CAND_0010257,69,0.8895,Senior Data Scientist with 6.5 YOE. Matched 7 critical retrieval/ranking and 4 secondary ML skills. Recruiter response rate is 72%.
CAND_0066309,70,0.8894,Senior Software Engineer (ML) with 5.3 YOE. Matched 5 critical retrieval/ranking and 7 secondary ML skills. Highly active GitHub profile (score 77.4). Recruiter response rate is 56%.
CAND_0057563,71,0.8888,NLP Engineer with 6.8 YOE. Matched 10 critical retrieval/ranking and 4 secondary ML skills. Recruiter response rate is 83%.
CAND_0047721,72,0.8881,Senior Data Scientist with 7.0 YOE. Matched 8 critical retrieval/ranking and 2 secondary ML skills. Highly active GitHub profile (score 90.1). Recruiter response rate is 49%.
CAND_0007412,73,0.888,Applied ML Engineer with 7.4 YOE. Matched 6 critical retrieval/ranking and 3 secondary ML skills. Recruiter response rate is 76%.
CAND_0053695,74,0.8876,Recommendation Systems Engineer with 5.8 YOE. Matched 9 critical retrieval/ranking and 3 secondary ML skills. Highly active GitHub profile (score 67.6). Recruiter response rate is 60%.
CAND_0077285,75,0.8876,Recommendation Systems Engineer with 5.5 YOE. Matched 7 critical retrieval/ranking and 4 secondary ML skills. Highly active GitHub profile (score 75.6). Recruiter response rate is 56%.
CAND_0061819,76,0.8874,Junior ML Engineer with 5.0 YOE. Matched 6 critical retrieval/ranking and 4 secondary ML skills. Recruiter response rate is 79%.
CAND_0067866,77,0.8857,Senior Software Engineer (ML) with 6.4 YOE. Matched 5 critical retrieval/ranking and 7 secondary ML skills. Recruiter response rate is 79%.
CAND_0008425,78,0.8853,Senior NLP Engineer with 7.8 YOE. Matched 7 critical retrieval/ranking and 6 secondary ML skills. Highly active GitHub profile (score 53.3). Recruiter response rate is 66%.
CAND_0086022,79,0.8852,Senior Applied Scientist with 5.3 YOE. Matched 10 critical retrieval/ranking and 6 secondary ML skills. Highly active GitHub profile (score 75.2). Recruiter response rate is 55%.
CAND_0011162,80,0.8843,Recommendation Systems Engineer with 5.8 YOE. Matched 9 critical retrieval/ranking and 6 secondary ML skills. Recruiter response rate is 75%.
CAND_0057736,81,0.884,Computer Vision Engineer with 6.2 YOE. Matched 5 critical retrieval/ranking and 7 secondary ML skills. Recruiter response rate is 92%.
CAND_0070398,82,0.8831,Machine Learning Engineer with 7.2 YOE. Matched 9 critical retrieval/ranking and 5 secondary ML skills. Highly active GitHub profile (score 63.1). Recruiter response rate is 60%.
CAND_0045613,83,0.8802,Computer Vision Engineer with 5.0 YOE. Matched 5 critical retrieval/ranking and 5 secondary ML skills. Highly active GitHub profile (score 54.2). Recruiter response rate is 63%.
CAND_0081846,84,0.8797,Lead AI Engineer with 6.7 YOE. Matched 11 critical retrieval/ranking and 5 secondary ML skills. Recruiter response rate is 73%.
CAND_0091909,85,0.8797,Machine Learning Engineer with 6.9 YOE. Matched 7 critical retrieval/ranking and 4 secondary ML skills. Recruiter response rate is 65%.
CAND_0031752,86,0.8773,ML Engineer with 5.0 YOE. Matched 4 critical retrieval/ranking and 6 secondary ML skills. Highly active GitHub profile (score 63.3). Recruiter response rate is 82%.
CAND_0081852,87,0.8759,Senior Data Scientist with 5.9 YOE. Matched 7 critical retrieval/ranking and 3 secondary ML skills. Highly active GitHub profile (score 87.9). Recruiter response rate is 44%.
CAND_0078492,88,0.8754,Recommendation Systems Engineer with 5.1 YOE. Matched 6 critical retrieval/ranking and 3 secondary ML skills. Recruiter response rate is 70%.
CAND_0064904,89,0.875,AI Engineer with 4.9 YOE. Matched 7 critical retrieval/ranking and 3 secondary ML skills. Highly active GitHub profile (score 59.0). Recruiter response rate is 78%.
CAND_0028422,90,0.8735,Junior ML Engineer with 5.5 YOE. Matched 4 critical retrieval/ranking and 6 secondary ML skills. Highly active GitHub profile (score 71.5). Recruiter response rate is 76%.
CAND_0037566,91,0.8734,Machine Learning Engineer with 6.9 YOE. Matched 6 critical retrieval/ranking and 4 secondary ML skills. Highly active GitHub profile (score 73.4). Recruiter response rate is 50%.
CAND_0058575,92,0.8729,AI Engineer with 5.8 YOE. Matched 9 critical retrieval/ranking and 2 secondary ML skills. Recruiter response rate is 69%.
CAND_0005260,93,0.872,Senior NLP Engineer with 5.2 YOE. Matched 8 critical retrieval/ranking and 7 secondary ML skills. Recruiter response rate is 86%.
CAND_0060054,94,0.872,AI Engineer with 6.4 YOE. Matched 9 critical retrieval/ranking and 3 secondary ML skills. Recruiter response rate is 86%.
CAND_0030784,95,0.8717,Data Scientist with 4.4 YOE. Matched 5 critical retrieval/ranking and 7 secondary ML skills. Recruiter response rate is 90%.
CAND_0007052,96,0.87,ML Engineer with 6.5 YOE. Matched 5 critical retrieval/ranking and 5 secondary ML skills. Recruiter response rate is 85%.
CAND_0036437,97,0.8692,Search Engineer with 4.8 YOE. Matched 8 critical retrieval/ranking and 2 secondary ML skills. Recruiter response rate is 87%.
CAND_0051630,98,0.8684,Machine Learning Engineer with 6.0 YOE. Matched 9 critical retrieval/ranking and 4 secondary ML skills. Highly active GitHub profile (score 66.4). Recruiter response rate is 51%.
CAND_0077956,99,0.8667,Computer Vision Engineer with 6.4 YOE. Matched 4 critical retrieval/ranking and 6 secondary ML skills. Recruiter response rate is 88%.
CAND_0010685,100,0.866,NLP Engineer with 6.7 YOE. Matched 8 critical retrieval/ranking and 4 secondary ML skills. Recruiter response rate is 83%.
